Jar_ID,Lab_ID,arc.inc_ID,index_co2,timepoint_cmtv,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,Period,time_d,mgCO2_jar,time_d_cmtv,d13c,d14c,d14c_err
14,2-C2-FMW-MA2,MA,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,0.66,8.00,,,
15,2-C2-FMW-MA3,MA,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,0.576,8.00,,,
16,2-C2-FMW-MB1,MB,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,0.208,8.00,,,
17,2-C2-FMW-MB2,MB,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,0.216,8.00,,,
18,2-C2-FMW-MB3,MB,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,0.248,8.00,,,
19,2-C2-FMW-SA1,SA,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,1.32,8.00,,,
20,2-C2-FMW-SA2,SA,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,,8.00,,,
21,2-C2-FMW-SA3,SA,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,0.996,8.00,,,
22,2-C2-FMW-SB1,SB,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,0.316,8.00,,,
23,2-C2-FMW-SB2,SB,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,,8.00,,,
24,2-C2-FMW-SB3,SB,48,3,,29-Sep-09,2009,9,29,7-Oct-09,2009,10,7,pre,8.00,0.32,8.00,,,
13,2-C2-FMW-MA1,MA,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.3805,10.00,,,
14,2-C2-FMW-MA2,MA,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.3905,10.00,,,
15,2-C2-FMW-MA3,MA,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.3275,10.00,,,
16,2-C2-FMW-MB1,MB,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.1475,10.00,,,
17,2-C2-FMW-MB2,MB,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.1025,10.00,,,
18,2-C2-FMW-MB3,MB,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.1025,10.00,,,
19,2-C2-FMW-SA1,SA,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.4525,10.00,,,
20,2-C2-FMW-SA2,SA,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.413,10.00,,,
21,2-C2-FMW-SA3,SA,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.433,10.00,,,
22,2-C2-FMW-SB1,SB,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.166,10.00,,,
23,2-C2-FMW-SB2,SB,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.153,10.00,,,
24,2-C2-FMW-SB3,SB,53,4,,8-Oct-09,2009,10,8,9-Oct-09,2009,10,9,inc,1.00,0.185,10.00,,,
13,2-C2-FMW-MA1,MA,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.56,11.00,,,
14,2-C2-FMW-MA2,MA,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.443,11.00,,,
15,2-C2-FMW-MA3,MA,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.479,11.00,,,
16,2-C2-FMW-MB1,MB,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.136,11.00,,,
17,2-C2-FMW-MB2,MB,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.117,11.00,,,
18,2-C2-FMW-MB3,MB,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.131,11.00,,,
19,2-C2-FMW-SA1,SA,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.86,11.00,,,
20,2-C2-FMW-SA2,SA,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.781,11.00,,,
21,2-C2-FMW-SA3,SA,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.755,11.00,,,
22,2-C2-FMW-SB1,SB,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.214,11.00,,,
23,2-C2-FMW-SB2,SB,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.165,11.00,,,
24,2-C2-FMW-SB3,SB,58,5,,8-Oct-09,2009,10,8,10-Oct-09,2009,10,10,inc,2.00,0.216,11.00,,,
13,2-C2-FMW-MA1,MA,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.654,12.00,,,
14,2-C2-FMW-MA2,MA,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.6525,12.00,,,
15,2-C2-FMW-MA3,MA,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.6615,12.00,,,
16,2-C2-FMW-MB1,MB,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.1425,12.00,,,
17,2-C2-FMW-MB2,MB,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.1605,12.00,,,
18,2-C2-FMW-MB3,MB,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.1755,12.00,,,
19,2-C2-FMW-SA1,SA,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,1.026,12.00,,,
20,2-C2-FMW-SA2,SA,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.8955,12.00,,,
21,2-C2-FMW-SA3,SA,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.9105,12.00,,,
22,2-C2-FMW-SB1,SB,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.1965,12.00,,,
23,2-C2-FMW-SB2,SB,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.231,12.00,,,
24,2-C2-FMW-SB3,SB,63,6,,8-Oct-09,2009,10,8,11-Oct-09,2009,10,11,inc,3.00,0.27,12.00,,,
13,2-C2-FMW-MA1,MA,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,0.865,14.00,,,
14,2-C2-FMW-MA2,MA,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,0.8175,14.00,,,
15,2-C2-FMW-MA3,MA,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,0.9825,14.00,,,
16,2-C2-FMW-MB1,MB,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,0.1625,14.00,,,
17,2-C2-FMW-MB2,MB,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,0.185,14.00,,,
18,2-C2-FMW-MB3,MB,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,0.2125,14.00,,,
19,2-C2-FMW-SA1,SA,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,1.57,14.00,,,
20,2-C2-FMW-SA2,SA,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,1.5825,14.00,,,
21,2-C2-FMW-SA3,SA,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,1.66,14.00,,,
22,2-C2-FMW-SB1,SB,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,0.3275,14.00,,,
23,2-C2-FMW-SB2,SB,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,0.23,14.00,,,
24,2-C2-FMW-SB3,SB,68,7,,8-Oct-09,2009,10,8,13-Oct-09,2009,10,13,inc,5.00,0.3425,14.00,,,
13,2-C2-FMW-MA1,MA,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,1.364,17.00,-25.75,63.9,2.1
14,2-C2-FMW-MA2,MA,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,1.312,17.00,-25.82,77.9,2.4
15,2-C2-FMW-MA3,MA,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,1.352,17.00,-25.4,,
16,2-C2-FMW-MB1,MB,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,0.248,17.00,-17.54,34.8,2.1
17,2-C2-FMW-MB2,MB,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,0.192,17.00,-16.81,42.2,2.1
18,2-C2-FMW-MB3,MB,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,0.224,17.00,-17.55,,
19,2-C2-FMW-SA1,SA,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,2.328,17.00,-25.27,,
20,2-C2-FMW-SA2,SA,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,2.58,17.00,-25.48,90.9,2.2
21,2-C2-FMW-SA3,SA,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,2.2,17.00,-25.24,86.2,2.2
22,2-C2-FMW-SB1,SB,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,0.428,17.00,-20.85,,
23,2-C2-FMW-SB2,SB,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,0.308,17.00,-20.2,61.2,2.1
24,2-C2-FMW-SB3,SB,73,8,,8-Oct-09,2009,10,8,16-Oct-09,2009,10,16,inc,8.00,0.44,17.00,-20.44,65.9,2.1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
