SampleName,ID,timepoint_cmtv,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,Period,time_d,mgCO2_jar,time_d_cmtv
MA-3,MA,6,,43308.70139,2018,7,27.70138889,1/0/00 0:00,1900,1,0,inc,,,
MB-1,MB,6,,43308.70139,2018,7,27.70138889,8/20/18 10:00,2018,8,20.41666667,inc,23.72,10.05999488,23.72
MB-2,MB,6,,43308.70139,2018,7,27.70138889,8/20/18 10:00,2018,8,20.41666667,inc,23.72,11.28776305,23.72
MB-3,MB,6,,43308.70139,2018,7,27.70138889,8/20/18 10:00,2018,8,20.41666667,inc,23.72,10.1469925,23.72
SA-1,SA,6,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SA-2,SA,6,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SA-3,SA,6,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SB-1,SB,6,,43308.72361,2018,7,27.72361111,8/20/18 10:00,2018,8,20.41666667,inc,23.69,20.64105801,23.69
SB-2,SB,6,,43308.72361,2018,7,27.72361111,8/20/18 10:00,2018,8,20.41666667,inc,23.69,20.85361947,23.69
SB-3,SB,6,,43308.72917,2018,7,27.72916667,8/20/18 10:00,2018,8,20.41666667,inc,23.69,15.21154674,23.69
Du123-1,Du123,6,,43308.72917,2018,7,27.72916667,1/0/00 0:00,1900,1,0,inc,,,
Du120-1,Du120,6,,43308.72917,2018,7,27.72916667,8/20/18 10:00,2018,8,20.41666667,inc,23.69,26.32379853,23.69
TVA 4E C-1,TVA 4E C,6,,43308.72917,2018,7,27.72916667,1/0/00 0:00,1900,1,0,inc,,,
TVA 6E C-1,TVA 6E C,6,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 8E C-1,TVA 8E C,6,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 2B C-1,TVA 2B C,6,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 3B C-1,TVA 3B C,6,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 5B C-1,TVA 5B C,6,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
MA-1,MA,7,#N/A,43308.70139,2018,7,27.70138889,#N/A,#N/A,#N/A,#N/A,inc,,,
MA-2,MA,7,#N/A,43308.70139,2018,7,27.70138889,#N/A,#N/A,#N/A,#N/A,inc,,,
MA-3,MA,7,#N/A,43308.70139,2018,7,27.70138889,#N/A,#N/A,#N/A,#N/A,inc,,,
MB-1,MB,7,#N/A,43308.70139,2018,7,27.70138889,8/24/18 15:02,2018,8,24.62638889,inc,27.92,12.63780938,27.92
MB-2,MB,7,,43308.70139,2018,7,27.70138889,8/24/18 15:04,2018,8,24.62777778,inc,27.93,13.06504639,27.93
MB-3,MB,7,,43308.70139,2018,7,27.70138889,8/24/18 15:06,2018,8,24.62916667,inc,27.93,11.75572399,27.93
SA-1,SA,7,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SA-2,SA,7,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SA-3,SA,7,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SB-1,SB,7,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SB-2,SB,7,#N/A,43308.72361,2018,7,27.72361111,#N/A,#N/A,#N/A,#N/A,inc,,,
SB-3,SB,7,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
Du123-1,Du123,7,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
Du120-1,Du120,7,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 4E C-1,TVA 4E C,7,#N/A,43308.72917,2018,7,27.72916667,#N/A,#N/A,#N/A,#N/A,inc,,,
TVA 6E C-1,TVA 6E C,7,#N/A,43308.73542,2018,7,27.73541667,#N/A,#N/A,#N/A,#N/A,inc,,,
